Judul; Anggaran Pendapatan Belanja Daerah;;
Daerah; Kota Yogyakarta;;
Tahun;;;
Kode Organisasi;1.06.01;;
Nama Organisasi;Badan Perencanaan Pembangunan Daerah;;
Kolom;4;;
KODE REKENING ;URAIAN ;ANGGARAN ;PENJELASAN
1.06.1.06.01.063.00;Program Perencanaan Pembangunan Daerah;2046260500;
1.06.1.06.01.063.01;Penyusunan Dokumen Perencanaan Pembangunan;356840000;
1.06.1.06.01.063.01.5.2.1;BELANJA PEGAWAI;178450000;
1.06.1.06.01.063.01.5.2.1.01;Honorarium PNS;178450000;
1.06.1.06.01.063.01.5.2.1.01.01;Honorarium Panitia Pelaksana Kegiatan;178450000;Honorarium Panitia Pelaksana Kegiatan 178.450.000
1.06.1.06.01.063.01.5.2.2;BELANJA BARANG DAN JASA;178390000;
1.06.1.06.01.063.01.5.2.2.03;Belanja Jasa Kantor;16500000;
1.06.1.06.01.063.01.5.2.2.03.26;Belanja Jasa Penyedia /Tenaga Teknis;16500000;Belanja Jasa Penyedia /Tenaga Teknis 16.500.000
1.06.1.06.01.063.01.5.2.2.06;Belanja Cetak Dan Penggandaan;39045000;
1.06.1.06.01.063.01.5.2.2.06.02;Belanja Penggandaan;39045000;Belanja Penggandaan 39.045.000
1.06.1.06.01.063.01.5.2.2.11;Belanja Makanan Dan Minuman;111070000;
1.06.1.06.01.063.01.5.2.2.11.02;Belanja Makanan Dan Minuman Rapat;111070000;Belanja Makanan Dan Minuman Rapat 111.070.000
1.06.1.06.01.063.01.5.2.2.15;Belanja Perjalanan Dinas;1875000;
1.06.1.06.01.063.01.5.2.2.15.01;Belanja Perjalanan Dinas Dalam Daerah;1875000;Belanja Perjalanan Dinas Dalam Daerah 1.875.000
1.06.1.06.01.063.01.5.2.2.33;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator;9900000;
1.06.1.06.01.063.01.5.2.2.33.01;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator;9900000;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator 9.900.000
1.06.1.06.01.063.04;Pelaksanaan Musrenbang;327007500;
1.06.1.06.01.063.04.5.2.1;BELANJA PEGAWAI;151350000;
1.06.1.06.01.063.04.5.2.1.01;Honorarium PNS;151350000;
1.06.1.06.01.063.04.5.2.1.01.01;Honorarium Panitia Pelaksana Kegiatan;150050000;Honorarium Panitia Pelaksana Kegiatan 150.050.000
1.06.1.06.01.063.04.5.2.1.01.02;Honorarium Tim Pengadaan Barang/Jasa;1300000;Honorarium Tim Pengadaan Barang/Jasa 1.300.000
1.06.1.06.01.063.04.5.2.2;BELANJA BARANG DAN JASA;175657500;
