Judul;BAPPEDA;;;
Kode  ORGANISASI : ;1.06.01;;;
tahun;2016;;;
kabupaten;kota;;;
;;;;
;;;;
No rekening;Uraian;anggaran;penjelasan;
1.06.1.06.01.042.002.5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;181800000;Honorarium Panitia Pelaksana Kegiatan 181800000;
1.06.1.06.01.042.002.5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;325000;Honorarium Tim Pengadaan Barang dan Jasa 325000;
1.06.1.06.01.042.002.5.2.1.02 ;Honorarium Non PNS ;16950000;;
1.06.1.06.01.042.002.5.2.1.02.01 ;Honorarium Panitia Pelaksana Kegiatan ;13800000;Honorarium Panitia Pelaksana Kegiatan 13800000;
1.06.1.06.01.042.002.5.2.1.02.03 ;Honorarium Pelaksana Kegiatan ;3150000;Honorarium Pelaksana Kegiatan 3150000;
1.06.1.06.01.042.002.5.2.2 ;BELANJA BARANG DAN JASA ;277486450;;
1.06.1.06.01.042.002.5.2.2.01 ;Belanja Bahan Pakai Habis ;5125000;;
1.06.1.06.01.042.002.5.2.2.01.01 ;Belanja  Alat Tulis Kantor ;5125000;Belanja  Alat Tulis Kantor 5125000;
1.06.1.06.01.042.002.5.2.2.03 ;Belanja Jasa Kantor ;82431450;;
1.06.1.06.01.042.002.5.2.2.03.25 ;Belanja Jasa Event Organizer ;62500000;Belanja Jasa Event Organizer Pembukaan Musrenbang 62500000;
1.06.1.06.01.042.002.5.2.2.03.27 ;Belanja Jasa Penyedia /Tenaga Teknis ;19931450;Belanja Jasa Penyedia /Tenaga Teknis 19931450;
1.06.1.06.01.042.002.5.2.2.06 ;Belanja Cetak Dan Penggandaan ;9035000;;
1.06.1.06.01.042.002.5.2.2.06.02 ;Belanja Penggandaan ;9035000;Belanja Penggandaan 9035000;
1.06.1.06.01.042.002.5.2.2.10 ;Belanja Sewa Perlengkapan dan Peralatan Kantor ;1400000;;
1.06.1.06.01.042.002.5.2.2.10.01 ;Belanja Sewa Meja Kursi ;1400000;Belanja Sewa Meja Kursi 1400000;
1.06.1.06.01.042.002.5.2.2.11 ;Belanja Makanan Dan Minuman ;58470000;;
1.06.1.06.01.042.002.5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;58470000;Belanja Makanan Dan Minuman Rapat 58470000;
1.06.1.06.01.042.002.5.2.2.15 ;Belanja Perjalanan Dinas ;40775000;;
1.06.1.06.01.042.002.5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;6125000;Belanja Perjalanan Dinas Dalam Daerah 6125000;
1.06.1.06.01.042.002.5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;34650000;Belanja Perjalanan Dinas Luar Daerah 34650000;
1.06.1.06.01.042.002.5.2.2.31 ;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ;80250000;;
1.06.1.06.01.042.002.5.2.2.31.03 ;Belanja Jasa Narasumber ;78600000;Belanja Jasa Narasumber 78600000;
1.06.1.06.01.042.002.5.2.2.31.04 ;Belanja Jasa Moderator ;1650000;Belanja Jasa Moderator 1650000;
1.06.1.06.01.042.003 ;Perencanaan Pembangunan Ekososbud ;246251450;;
1.06.1.06.01.042.003.5.2.1 ;BELANJA PEGAWAI ;203575000;;
1.06.1.06.01.042.003.5.2.1.01 ;Honorarium PNS ;183325000;;
1.06.1.06.01.042.003.5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;183325000;Honorarium Panitia Pelaksana Kegiatan 183325000;
1.06.1.06.01.042.003.5.2.1.02 ;Honorarium Non PNS ;20250000;;
1.06.1.06.01.042.003.5.2.1.02.01 ;Honorarium Panitia Pelaksana Kegiatan ;20250000;Honorarium Panitia Pelaksana Kegiatan 20250000;
1.06.1.06.01.042.003.5.2.2 ;BELANJA BARANG DAN JASA ;42676450;;
1.06.1.06.01.042.003.5.2.2.03 ;Belanja Jasa Kantor ;19931450;;
1.06.1.06.01.042.003.5.2.2.03.27 ;Belanja Jasa Penyedia /Tenaga Teknis ;19931000;Belanja Jasa Penyedia /Tenaga Teknis 19931450;
1.06.1.06.01.042.003.5.2.2.06 ;Belanja Cetak Dan Penggandaan ;8055000;;
