Judul;Penjabaran Anggaran Pendaptan Belanja Daerah;;
1.17.1.17.01.071.001.5.2.2.01.01 ;Belanja  Alat Tulis Kantor ;2327500;Belanja  Alat Tulis Kantor 2327500
1.17.1.17.01.071.001.5.2.2.03 ;Belanja Jasa Kantor ;142400000;
1.17.1.17.01.071.001.5.2.2.03.11 ;Belanja Jasa Media Massa ;34000000;Belanja Jasa Media Massa 34000000
1.17.1.17.01.071.001.5.2.2.03.13 ;Belanja Dekorasi Dokumentasi Publikasi Pembuatan Film ;28400000;Belanja Dekorasi Dokumentasi Publikasi Pembuatan Film 28400000
1.17.1.17.01.071.001.5.2.2.03.25 ;Belanja Jasa Event Organizer ;80000000;Belanja Jasa Event Organizer 80000000Pekan Budaya Tionghoa 80000000
1.17.1.17.01.071.001.5.2.2.06 ;Belanja Cetak Dan Penggandaan ;26660000;
1.17.1.17.01.071.001.5.2.2.06.01 ;Belanja Cetak ;17750000;Belanja Cetak 17750000
1.17.1.17.01.071.001.5.2.2.06.02 ;Belanja Penggandaan ;8910000;Belanja Penggandaan 8910000
1.17.1.17.01.071.001.5.2.2.07 ;Belanja Sewa Rumah/Gedung/Gudang/Parkir ;8250000;
1.17.1.17.01.071.001.5.2.2.07.02 ;Belanja Sewa Gedung/Kantor/Tempat ;8250000;Belanja Sewa Gedung/Kantor/Tempat 8250000
1.17.1.17.01.071.001.5.2.2.08 ;Belanja Sewa Sarana Mobilitas ;3000000;
1.17.1.17.01.071.001.5.2.2.08.01 ;Belanja Sewa Sarana Mobilitas Darat ;3000000;Belanja Sewa Sarana Mobilitas Darat 3000000
1.17.1.17.01.071.001.5.2.2.10 ;Belanja Sewa Perlengkapan dan Peralatan Kantor ;132255000;
1.17.1.17.01.071.001.5.2.2.10.01 ;Belanja Sewa Meja Kursi ;7755000;Belanja Sewa Meja Kursi 7755000
1.17.1.17.01.071.001.5.2.2.10.04 ;Belanja Sewa Generator ;19500000;Belanja Sewa Generator 19500000
1.17.1.17.01.071.001.5.2.2.10.05 ;Belanja Sewa Tenda ;10400000;Belanja Sewa Tenda 10400000
1.17.1.17.01.071.001.5.2.2.10.09 ;Belanja Sewa Perlengkapan/Peralatan ;94600000;Belanja Sewa Perlengkapan/Peralatan 94600000
1.17.1.17.01.071.001.5.2.2.11 ;Belanja Makanan Dan Minuman ;85700000;
1.17.1.17.01.071.001.5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;8800000;Belanja Makanan Dan Minuman Rapat 8800000
1.17.1.17.01.071.001.5.2.2.11.03 ;Belanja Makanan Dan Minuman Tamu ;76900000;Belanja Makanan Dan Minuman Tamu 76900000
