"Judul","Ringkasan Perubahan Apbd Menurut Urusan Pemerintahan Daerah Dan Organisasi",,,,,,,,,,,,
"Daerah","Kabupaten Kulon Progo",,,,,,,,,,,,
"Tahun",2014,,,,,,,,,,,,
"Kode Organisasi","1 - Pemda Kulon Progo",,,,,,,,,,,,
"Kolom",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Kode","Urusan Pemerintahan Daerah","Pendapatan",,,,"Belanja",,,,,,,
,,"Sebelum Perubahan","Setelah Perubahan","Bertambah / Berkurang",,"Sebelum Perubahan",,,"Setelah Perubahan",,,"Bertambah / berkurang",
,,,,,,"Tidak Langsung","Langsung","Jumlah Belanja","Tidak Langsung","Langsung","Jumlah Belanja",,
2.02,"Kehutanan ",0,0,0,0,0,1412385880,1412385880,0,1501635880,1501635880,89250000,6.32
"2.02 . 2.01.01 ","Dinas Pertanian dan Kehutanan ",0,0,0,0,0,1412385880,1412385880,0,1501635880,1501635880,89250000,6.32
2.03,"Energi dan Sumberdaya Mineral ",0,0,0,0,0,362901400,362901400,0,556483700,556483700,193582300,53.34
"2.03 . 2.06.01 ","Dinas Perindustrian, Perdagangan dan ESDM ",0,0,0,0,0,362901400,362901400,0,556483700,556483700,193582300,53.34
2.04,"Pariwisata ",0,0,0,0,0,1456836200,1456836200,0,1525456200,1525456200,68620000,4.71
"2.04 . 1.17.01 ","Dinas Kebudayaan Pariwisata Pemuda dan Olah Raga ",0,0,0,0,0,1456836200,1456836200,0,1525456200,1525456200,68620000,4.71
2.05,"Kelautan dan Perikanan ",251212000,224107500,-27104500,-10.79,5940433872,6237017752,12177451624,5988197385,6429886752,12418084137,240632513,1.98
"2.05 . 2.05.02 ","Dinas Kelautan, Perikanan dan Peternakan ",251212000,224107500,-27104500,-10.79,5940433872,6237017752,12177451624,5988197385,6429886752,12418084137,240632513,1.98
2.06,"Perdagangan ",1238917800,1078608000,-160309800,-12.94,5077576038,5733394967,10810971005,5268376833,6179276235,11447653068,636682063,5.89
"2.06 . 2.06.01 ","Dinas Perindustrian, Perdagangan dan ESDM ",1238917800,1078608000,-160309800,-12.94,5077576038,5733394967,10810971005,5268376833,6179276235,11447653068,636682063,5.89
2.07,"Industri ",0,0,0,0,0,736303150,736303150,0,1265020701,1265020701,528717551,71.81
"2.07 . 2.06.01 ","Dinas Perindustrian, Perdagangan dan ESDM ",0,0,0,0,0,736303150,736303150,0,1265020701,1265020701,528717551,71.81
2.08,"Ketransmigrasian ",0,0,0,0,0,202300000,202300000,0,222600000,222600000,20300000,10.03
"2.08 . 1.14.01 ","Dinas Sosial, Tenaga Kerja dan Transmigrasi ",0,0,0,0,0,202300000,202300000,0,222600000,222600000,20300000,10.03
,"JUMLAH ",1031123944253.75,1088812577061.41,57688632807.66,5.59,708840112699.49,336714783267,1045554895966.49,761175560389.61,413453480748,1174629041137.61,129074145171.12,12.35
