Judul,Penjabaran Anggaran Pendapatan dan Belanja,,
Daerah,Kabupaten Sleman,,
Tahun,2016,,
Kode Organisasi,1.06.01.00,,
Nama Organisasi,Dinas Pendidikan Pemuda dan Olahraga,,
Kolom,4,,
Kode Rekening,URAIAN,JUMLAH,Keterangan
1.01.1.01.06.00.20.003,Pelatihan bagi pendidik untuk memenuhi standar kompetensi,138316000,
1.01.1.01.06.00.20.003.5.2.1,Belanja Pegawai,15696000,
1.01.1.01.06.00.20.003.5.2.2,Belanja Barang Dan Jasa,122620000,
1.01.1.01.06.00.20.004,Pembinaan kelompok kerja guru (KKG),196018500,
1.01.1.01.06.00.20.004.5.2.1,Belanja Pegawai,73750500,
1.01.1.01.06.00.20.004.5.2.2,Belanja Barang Dan Jasa,122268000,
1.01.1.01.06.00.20.008,Pengembangan mutu dan kualitas program pendidikan dan pelatihan bagi pendidik dan tenaga kependidikan,270488000,
1.01.1.01.06.00.20.008.5.2.1,Belanja Pegawai,37908000,
1.01.1.01.06.00.20.008.5.2.2,Belanja Barang Dan Jasa,232580000,
1.01.1.01.06.00.20.009,Pengembangan sistem pendataan dan pemetaan pendidik dan tenaga kependidikan,103297000,
1.01.1.01.06.00.20.009.5.2.1,Belanja Pegawai,31257000,
1.01.1.01.06.00.20.009.5.2.2,Belanja Barang Dan Jasa,72040000,
1.01.1.01.06.00.20.010,Pengembangan sistem penghargaan dan perlindungan terhadap profesi pendidik,142176900,
1.01.1.01.06.00.20.010.5.2.1,Belanja Pegawai,19737000,
1.01.1.01.06.00.20.010.5.2.2,Belanja Barang Dan Jasa,122439900,
1.01.1.01.06.00.20.011,Pengembangan sistem perencanaan dan pengendalian program profesi pendidik dan tenaga kependidikan,92000000,
1.01.1.01.06.00.20.011.5.2.1,Belanja Pegawai,40500000,
1.01.1.01.06.00.20.011.5.2.2,Belanja Barang Dan Jasa,51500000,
1.01.1.01.06.00.20.015,Penilaian Kinerja guru dan tenaga kependidikan,81051925,
1.01.1.01.06.00.20.015.5.2.1,Belanja Pegawai,60912000,
1.01.1.01.06.00.20.015.5.2.2,Belanja Barang Dan Jasa,20139925,
1.01.1.01.06.00.20.016,Pembinaan dan peningkatan kualitas tenaga pendidik dan kependidikan,30357158175,
1.01.1.01.06.00.20.016.5.2.1,Belanja Pegawai,52152300,
1.01.1.01.06.00.20.016.5.2.2,Belanja Barang Dan Jasa,30305005875,
1.01.1.01.06.00.22,Program Manajemen Pelayanan Pendidikan,9099316800,
1.01.1.01.06.00.22.001,Pelaksanaan evaluasi hasil kinerja bidang pendidikan,107771875,
1.01.1.01.06.00.22.001.5.2.1,Belanja Pegawai,30024000,
1.01.1.01.06.00.22.001.5.2.2,Belanja Barang Dan Jasa,77747875,
1.01.1.01.06.00.22.002,Pelaksanaan kerjasama secara kelembagaan di bidang pendidikan,218026500,
1.01.1.01.06.00.22.002.5.2.1,Belanja Pegawai,115344000,
1.01.1.01.06.00.22.002.5.2.2,Belanja Barang Dan Jasa,102682500,
1.01.1.01.06.00.22.004,Sosialisasi dan advokasi berbagai peraturan pemerintah di bidang pendidikan,95121450,
1.01.1.01.06.00.22.004.5.2.1,Belanja Pegawai,23166000,
1.01.1.01.06.00.22.004.5.2.2,Belanja Barang Dan Jasa,71955450,
1.01.1.01.06.00.22.005,Pembinaan dewan pendidikan,187274925,
1.01.1.01.06.00.22.005.5.2.1,Belanja Pegawai,12712500,
1.01.1.01.06.00.22.005.5.2.2,Belanja Barang Dan Jasa,174562425,
1.01.1.01.06.00.22.007,Penerapan sistem dan informasi manajemen pendidikan,77628375,
1.01.1.01.06.00.22.007.5.2.1,Belanja Pegawai,32643000,
1.01.1.01.06.00.22.007.5.2.2,Belanja Barang Dan Jasa,44985375,
1.01.1.01.06.00.22.010,Penerimaan Peserta Didik Baru,549214000,
1.01.1.01.06.00.22.010.5.2.1,Belanja Pegawai,109759100,
1.01.1.01.06.00.22.010.5.2.2,Belanja Barang Dan Jasa,439454900,
1.01.1.01.06.00.22.012,Manajemen RAPBS/APBS,189321975,
1.01.1.01.06.00.22.012.5.2.1,Belanja Pegawai,47682000,
1.01.1.01.06.00.22.012.5.2.2,Belanja Barang Dan Jasa,141639975,
1.01.1.01.06.00.22.015,Peningkatan Kapasitas Manajemen Pendidikan,1871539000,
1.01.1.01.06.00.22.015.5.2.1,Belanja Pegawai,156480000,
1.01.1.01.06.00.22.015.5.2.2,Belanja Barang Dan Jasa,1696009000,
1.01.1.01.06.00.22.015.5.2.3,Belanja Modal,19050000,
1.01.1.01.06.00.22.017,Penyelenggaraan Tes Kendali Mutu,626293300,
1.01.1.01.06.00.22.017.5.2.1,Belanja Pegawai,597474000,
1.01.1.01.06.00.22.017.5.2.2,Belanja Barang Dan Jasa,28819300,
1.01.1.01.06.00.22.018,Penyelenggaraan Ujian Sekolah dan Ujian Nasional,1720365500,
1.01.1.01.06.00.22.018.5.2.1,Belanja Pegawai,1177294500,
1.01.1.01.06.00.22.018.5.2.2,Belanja Barang Dan Jasa,543071000,
1.01.1.01.06.00.22.019,Pembinaan dan fasilitasi operasional sekolah,405780000,
